,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
84,ABBB,AUBURN BANCORP INC,otc,us,,CS,True,USD,,BBG000BMSFK2,BBG001SPRY52,2023-10-11T21:27:53.259Z
85,ABBNY,ABB LTD SPONS ADR,otc,us,,ADRC,True,USD,,BBG000DK5Q25,BBG001SDDMX9,2023-06-30T05:00:38.266Z
86,ABBRF,ABRASILVER RESOURCE CORP,otc,us,,OS,True,USD,,BBG00GBV2HN8,BBG001S60949,2023-10-11T21:28:17.659Z
87,ABBV,ABBVIE INC.,stocks,us,XNYS,CS,True,usd,0001551152,BBG0025Y4RY4,BBG0025Y4RZ3,2023-11-07T00:00:00Z
88,ABBY,ABBY INC,otc,us,,CS,True,USD,,BBG001M8FVR1,BBG001V10SY1,2023-10-11T21:28:04.559Z
89,ABCAF,ATHABASCA MINERALS INC,otc,us,,OS,True,USD,,BBG005K4ZL84,BBG001SQHLR5,2023-05-10T05:00:38.505Z
90,ABCB,Ameris Bancorp,stocks,us,XNAS,CS,True,usd,0000351569,BBG000CDY3H5,BBG001S80PX7,2023-11-07T00:00:00Z
91,ABCCF,ABC ARBITRAGE SA ORD,otc,us,,OS,True,USD,,,,2021-09-28T00:10:09.075Z
92,ABCE,ABCO ENERGY INC,otc,us,,CS,True,USD,,BBG000M1SPF0,BBG001SK7PJ9,2022-09-28T21:16:48.383Z
93,ABCFF,ABACUS MINING & EXPL ORD,otc,us,,OS,True,USD,,BBG000JR8L77,BBG001S5XSV3,2023-05-10T05:00:38.805Z
94,ABCGF,ABACUS GROUP,otc,us,,OS,True,USD,,,,2023-09-19T08:45:12.258Z
95,ABCL,AbCellera Biologics Inc. Common Shares,stocks,us,XNAS,CS,True,usd,0001703057,BBG00LLW2MF2,BBG00LLW2MH0,2023-11-07T00:00:00Z
96,ABCM,Abcam plc American Depositary Shares,stocks,us,XNAS,ADRC,True,usd,0001492074,BBG00XRJJLG2,BBG00XRJJM98,2023-11-07T00:00:00Z
97,ABCP,AMBASE CORP,otc,us,,CS,True,USD,,BBG000CY8Z05,BBG001S5Z4M4,2023-05-01T05:00:22.905Z
98,ABCZF,ABCAM PLC ORD,otc,us,,OS,True,USD,,,,2023-06-22T08:45:14.978Z
99,ABDBY,ALM BRAND AS ADR,otc,us,,ADRC,True,USD,,BBG00S028022,BBG00S0280T3,2023-07-03T10:43:26.38Z
